imu,time,ax,ay,az,gx,gy,gz,mx,my,mz
1,199628,-3498,2429,-609,-137,-229,-97,-155,209,-205
1,199636,-3498,2429,-609,-137,-229,-97,-155,209,-205
1,199644,-3495,2428,-605,-127,-221,-96,-155,209,-205
1,199652,-3495,2428,-605,-127,-221,-96,-155,209,-205
1,199660,-3495,2428,-606,-131,-223,-97,-155,209,-205
1,199667,-3495,2428,-606,-131,-223,-97,-155,209,-205
1,199673,-3495,2428,-606,-131,-223,-97,-155,209,-205
1,199680,-3497,2429,-604,-131,-220,-95,-154,208,-206
1,199686,-3497,2429,-604,-131,-220,-95,-154,208,-206
1,199693,-3497,2429,-604,-131,-220,-95,-154,208,-206
1,199699,-3496,2426,-607,-136,-223,-106,-154,208,-206
1,199704,-3496,2426,-607,-136,-223,-106,-154,208,-206
1,199710,-3496,2426,-607,-136,-223,-106,-154,208,-206
1,199716,-3496,2426,-607,-136,-223,-106,-154,208,-206
1,199724,-3497,2428,-608,-133,-212,-96,-154,208,-206
1,199729,-3497,2428,-608,-133,-212,-96,-154,208,-206
1,199735,-3497,2428,-608,-133,-212,-96,-154,208,-206
1,199741,-3495,2428,-601,-128,-219,-97,-154,208,-206
1,199746,-3495,2428,-601,-128,-219,-97,-154,208,-206
1,199751,-3495,2428,-601,-128,-219,-97,-154,208,-206
1,199757,-3496,2427,-607,-132,-224,-96,-154,208,-206
1,199762,-3496,2427,-607,-132,-224,-96,-154,208,-206
1,199769,-3496,2427,-607,-132,-224,-96,-154,208,-206
1,199774,-3496,2427,-607,-132,-224,-96,-154,208,-206
1,199780,-3496,2426,-611,-135,-215,-89,-154,208,-206
1,199785,-3496,2426,-611,-135,-215,-89,-154,208,-206
1,199791,-3496,2426,-611,-135,-215,-89,-154,208,-206
1,199797,-3497,2425,-607,-129,-217,-100,-163,209,-205
1,199802,-3497,2425,-607,-129,-217,-100,-163,209,-205
1,199808,-3497,2425,-607,-129,-217,-100,-163,209,-205
1,199814,-3497,2425,-607,-129,-217,-100,-163,209,-205
1,199819,-3500,2425,-611,-132,-222,-91,-163,209,-205
1,199824,-3500,2425,-611,-132,-222,-91,-163,209,-205
1,199829,-3500,2425,-611,-132,-222,-91,-163,209,-205
1,199834,-3500,2425,-611,-132,-222,-91,-163,209,-205
1,199840,-3496,2427,-606,-134,-220,-89,-163,209,-205
1,199845,-3496,2427,-606,-134,-220,-89,-163,209,-205
1,199851,-3496,2427,-606,-134,-220,-89,-163,209,-205
1,199857,-3493,2428,-609,-130,-216,-88,-163,209,-205
1,199862,-3493,2428,-609,-130,-216,-88,-163,209,-205
1,199868,-3493,2428,-609,-130,-216,-88,-163,209,-205
1,199873,-3493,2428,-609,-130,-216,-88,-163,209,-205
1,199878,-3495,2427,-611,-130,-225,-90,-163,209,-205
1,199884,-3495,2427,-611,-130,-225,-90,-163,209,-205
1,199889,-3495,2427,-611,-130,-225,-90,-163,209,-205
1,199895,-3495,2427,-611,-130,-225,-90,-163,209,-205
1,199901,-3496,2427,-612,-134,-223,-96,-163,209,-205
1,199906,-3496,2427,-612,-134,-223,-96,-163,209,-205
1,199912,-3496,2427,-612,-134,-223,-96,-163,209,-205
1,199917,-3494,2430,-606,-134,-228,-97,-152,208,-200
1,199923,-3494,2430,-606,-134,-228,-97,-152,208,-200
1,199929,-3494,2430,-606,-134,-228,-97,-152,208,-200
1,199934,-3494,2430,-606,-134,-228,-97,-152,208,-200
1,199941,-3497,2430,-607,-137,-225,-97,-152,208,-200
1,199945,-3497,2430,-607,-137,-225,-97,-152,208,-200
1,199951,-3497,2430,-607,-137,-225,-97,-152,208,-200
1,199956,-3497,2430,-607,-137,-225,-97,-152,208,-200
1,199962,-3495,2426,-607,-132,-220,-95,-152,208,-200
1,199967,-3495,2426,-607,-132,-220,-95,-152,208,-200
1,199973,-3495,2426,-607,-132,-220,-95,-152,208,-200
1,199979,-3494,2428,-610,-138,-227,-92,-152,208,-200
1,199985,-3494,2428,-610,-138,-227,-92,-152,208,-200
1,199990,-3494,2428,-610,-138,-227,-92,-152,208,-200
1,199996,-3494,2428,-610,-138,-227,-92,-152,208,-200
1,200001,-3496,2424,-608,-138,-214,-97,-152,208,-200
1,200007,-3496,2424,-608,-138,-214,-97,-152,208,-200
1,200012,-3496,2424,-608,-138,-214,-97,-152,208,-200
1,200018,-3498,2427,-610,-130,-217,-98,-152,208,-200
1,200024,-3498,2427,-610,-130,-217,-98,-152,208,-200
1,200030,-3498,2427,-610,-130,-217,-98,-152,208,-200
1,200035,-3498,2427,-610,-130,-217,-98,-152,208,-200
1,200040,-3497,2425,-604,-130,-226,-87,-148,208,-206
1,200046,-3497,2425,-604,-130,-226,-87,-148,208,-206
1,200052,-3497,2425,-604,-130,-226,-87,-148,208,-206
1,200057,-3497,2426,-605,-135,-225,-93,-148,208,-206
1,200062,-3497,2426,-605,-135,-225,-93,-148,208,-206
1,200068,-3497,2426,-605,-135,-225,-93,-148,208,-206
1,200073,-3497,2426,-605,-135,-225,-93,-148,208,-206
1,200079,-3495,2426,-607,-137,-224,-94,-148,208,-206
1,200084,-3495,2426,-607,-137,-224,-94,-148,208,-206
1,200089,-3495,2426,-607,-137,-224,-94,-148,208,-206
