imu,time,ax,ay,az,gx,gy,gz,mx,my,mz
2,392880,219,227,1573,-761,-577,-516,104,150,-36
2,392887,219,227,1573,-761,-577,-516,104,150,-36
2,392895,219,227,1573,-761,-577,-516,104,150,-36
2,392902,246,247,1622,-505,-249,-472,103,157,-43
2,392909,246,247,1622,-505,-249,-472,103,157,-43
2,392916,246,247,1622,-505,-249,-472,103,157,-43
2,392924,211,241,1645,-359,-282,-282,103,157,-43
2,392931,211,241,1645,-359,-282,-282,103,157,-43
2,392938,211,241,1645,-359,-282,-282,103,157,-43
2,392945,162,224,1671,-409,-183,-206,103,157,-43
2,392951,162,224,1671,-409,-183,-206,103,157,-43
2,392957,162,224,1671,-409,-183,-206,103,157,-43
2,392964,171,224,1692,-637,-32,-358,103,157,-43
2,392970,171,224,1692,-637,-32,-358,103,157,-43
2,392976,171,224,1692,-637,-32,-358,103,157,-43
2,392982,188,250,1665,-823,-200,-442,103,157,-43
2,392987,188,250,1665,-823,-200,-442,103,157,-43
2,392993,188,250,1665,-823,-200,-442,103,157,-43
2,392999,172,249,1663,-742,-231,-380,103,157,-43
2,393005,172,249,1663,-742,-231,-380,103,157,-43
2,393009,172,249,1663,-742,-231,-380,103,157,-43
2,393014,172,249,1663,-742,-231,-380,103,157,-43
2,393019,172,249,1663,-742,-231,-380,103,157,-43
2,393024,161,242,1689,-632,-164,-344,101,153,-43
2,393029,161,242,1689,-632,-164,-344,101,153,-43
2,393034,161,242,1689,-632,-164,-344,101,153,-43
2,393039,106,208,1761,-650,-167,-297,101,153,-43
2,393044,106,208,1761,-650,-167,-297,101,153,-43
2,393050,106,208,1761,-650,-167,-297,101,153,-43
2,393056,106,208,1761,-650,-167,-297,101,153,-43
2,393061,135,216,1675,-843,-281,-443,101,153,-43
2,393066,135,216,1675,-843,-281,-443,101,153,-43
2,393071,135,216,1675,-843,-281,-443,101,153,-43
2,393076,135,216,1675,-843,-281,-443,101,153,-43
2,393080,127,209,1718,-691,-252,-561,101,153,-43
2,393085,127,209,1718,-691,-252,-561,101,153,-43
2,393091,127,209,1718,-691,-252,-561,101,153,-43
2,393095,127,209,1718,-691,-252,-561,101,153,-43
2,393100,193,245,1728,-650,-482,-745,101,153,-43
2,393105,193,245,1728,-650,-482,-745,101,153,-43
2,393110,193,245,1728,-650,-482,-745,101,153,-43
2,393114,193,245,1728,-650,-482,-745,101,153,-43
2,393119,191,250,1695,-962,-705,-613,101,153,-43
2,393124,191,250,1695,-962,-705,-613,101,153,-43
2,393129,191,250,1695,-962,-705,-613,101,153,-43
2,393135,191,250,1695,-962,-705,-613,101,153,-43
2,393140,203,266,1607,-1070,-540,-566,104,156,-30
2,393146,203,266,1607,-1070,-540,-566,104,156,-30
2,393151,203,266,1607,-1070,-540,-566,104,156,-30
2,393156,203,266,1607,-1070,-540,-566,104,156,-30
2,393162,219,270,1703,-695,-176,-506,104,156,-30
2,393168,219,270,1703,-695,-176,-506,104,156,-30
2,393175,219,270,1703,-695,-176,-506,104,156,-30
2,393180,220,266,1726,-673,-467,-338,104,156,-30
2,393186,220,266,1726,-673,-467,-338,104,156,-30
2,393192,220,266,1726,-673,-467,-338,104,156,-30
2,393198,220,266,1726,-673,-467,-338,104,156,-30
2,393204,167,242,1677,-933,-602,-165,104,156,-30
